word1	word2	SimLex999	POS
bed	deken	3.27	N
officier van justitie	advocaat	3.25	N
gebied	zone	8.42	N
bedrijf	onderneming	8.72	N
kleding	textiel	4.69	N
trui	jas	4.26	N
geld	vermogen	6.36	N
hand	voet	3.12	N
alcohol	cocktail	5.68	N
decimeter	centimeter	3.23	N
molecuul	atoom	4.95	N
lens	camera	3.10	N
maaltijd	diner	6.75	N
oog	traan	4.61	N
god	duivel	2.14	N
lus	riem	2.38	N
rat	muis	4.75	N
motor	aandrijving	5.24	N
auto	taxi	5.40	N
kat	leeuw	3.33	N
maat	omvang	5.50	N
werkelijkheid	verbeelding	1.55	N
deur	poort	5.54	N
kat	huisdier	4.13	N
blik	aluminium	5.78	N
botten	kaak	4.90	N
graan	tarwe	6.81	N
huis	sleutel	3.55	N
bloed	vlees	3.80	N
deur	gang	1.98	N
god	geest	2.83	N
vermogen	competentie	6.64	N
uitbundigheid	overvloed	4.44	N
bank	stoel	5.38	N
muur	baksteen	3.38	N
hoorn	trommel	1.40	N
orgaan	lever	3.86	N
kracht	macht	2.93	N
zin	woord	2.91	N
muziekgroep	parade	3.90	N
buik	taille	4.97	N
wolk	storm	3.83	N
vreugde	trots	3.28	N
lawaai	gerammel	4.65	N
regen	mist	3.93	N
bier	drank	5.67	N
man	oom	3.62	N
appel	sap	3.06	N
intelligentie	logica	4.36	N
communicatie	taal	6.35	N
nerts	bont	3.36	N
bende	menigte	5.10	N
oever	kust	5.08	N
pijpleiding	kabel	1.55	N
vogel	kalkoen	4.18	N
bed	wieg	6.70	N
competentie	vermogen	7.73	N
wolk	nevel	5.85	N
avondeten	maaltijd	6.14	N
balk	kooi	0.72	N
water	zout	0.87	N
gevoel	intuïtie	8.02	N
situatie	omstandigheid	7.76	N
misdaad	diefstal	7.38	N
stijl	mode	6.08	N
rand	grens	7.15	N
arm	lichaam	3.36	N
boot	auto	1.70	N
broodje	lunch	3.62	N
bruid	prinses	2.25	N
heldin	held	8.55	N
auto	meter	1.25	N
insect	bij	3.37	N
kinderbed	wieg	6.15	N
dier	persoon	3.52	N
marihuana	kruid	4.18	N
bed	ziekenhuis	3.24	N
wang	tong	3.22	N
cd	computer	2.05	N
bocht	hoek	5.20	N
gras	mos	3.94	N
school	wet	2.17	N
voet	hoofd	1.39	N
moeder	beschermer	3.08	N
orthodontist	tandarts	6.23	N
alcohol	whisky	3.48	N
mond	tand	3.47	N
ontbijt	spek	2.14	N
badkamer	slaapkamer	2.03	N
bord	kom	3.87	N
vlees	brood	1.41	N
lucht	helium	3.18	N
arbeider	werkgever	2.81	N
lichaam	borst	1.63	N
zoon	vader	2.71	N
hart	operatie	1.80	N
vrouw	secretaresse	1.84	N
man	vader	4.31	N
strand	eiland	2.72	N
verhaal	onderwerp	3.47	N
spel	plezier	3.70	N
weekend	week	4.25	N
koppel	paar	8.56	N
vrouw	echtgenote	6.59	N
schaap	vee	3.82	N
portemonnee	tas	3.52	N
dak	kathedraal	2.00	N
boon	koffie	5.62	N
hout	papier	3.55	N
bovenkant	zijkant	2.75	N
misdaad	fraude	5.45	N
pijn	schade	4.40	N
minnaar	partner	4.82	N
avond	schemering	5.64	N
vader	dochter	3.11	N
wijn	likeur	3.00	N
koe	geit	1.56	N
geloof	mening	5.05	N
werkelijkheid	illusie	2.98	N
overeenkomst	voorwaarde	4.39	N
rijkdom	armoede	2.56	N
ongeval	noodgeval	5.80	N
strijd	verovering	5.56	N
vriend	leraar	1.51	N
ziekte	besmetting	6.18	N
spel	truc	3.52	N
broer	zoon	2.89	N
tante	neef	2.33	N
arbeider	monteur	4.25	N
dokter	orthodontist	2.54	N
eikenboom	esdoorn	4.80	N
bij	koningin	2.95	N
auto	fiets	3.02	N
doelwit	zoektocht	1.91	N
augustus	maand	3.90	N
leger	ploeg	2.80	N
wolk	weer	1.94	N
arts	dokter	9.28	N
ravijn	vallei	6.08	N
rivier	vallei	2.58	N
zon	lucht	3.28	N
doel	pijl	4.02	N
chocolade	taart	2.32	N
omstandigheid	situatie	7.51	N
mening	keuze	3.29	N
ritme	melodie	5.65	N
darm	zenuw	1.18	N
dag	dageraad	4.09	N
vee	rundvlees	3.59	N
dokter	professor	4.68	N
arm	ader	2.05	N
kamer	bad	1.31	N
onderneming	bedrijf	7.95	N
plezier	voetbal	1.86	N
heuvel	cliff	3.55	N
botten	enkel	1.93	N
appel	snoep	1.69	N
helper	huishulp	5.37	N
leider	manager	7.14	N
citroen	thee	1.70	N
bij	mier	1.93	N
basketbal	honkbal	2.53	N
rijst	boon	2.13	N
bed	meubels	3.31	N
emotie	passie	5.09	N
anarchie	chaos	3.65	N
misdaad	overtreding	6.31	N
machine	aandrijving	3.02	N
strand	zee	4.62	N
steeg	kom	0.82	N
pot	fles	2.25	N
kracht	vermogen	6.92	N
zaad	mosterd	1.88	N
gitaar	drumstel	2.45	N
mening	idee	5.32	N
noord	west	1.83	N
dieet	salade	3.82	N
moeder	vrouw	5.30	N
vader	moeder	5.40	N
kapitein	matroos	4.25	N
meter	decimeter	3.28	N
bier	champagne	1.99	N
motor	boot	3.55	N
kaart	brug	2.32	N
wetenschap	psychologie	3.16	N
zondaar	heilige	1.57	N
vernietiging	constructie	1.90	N
menigte	massa	8.29	N
strand	rif	2.08	N
man	kind	1.85	N
brood	kaas	2.62	N
kampioen	winnaar	8.16	N
feest	ceremonie	5.23	N
menu	bestelling	3.02	N
koning	prinses	2.26	N
rijkdom	aanzien	3.08	N
uithoudingsvermogen	kracht	5.13	N
gevaar	bedreiging	7.87	N
god	priester	2.51	N
mannen	broederschap	2.74	N
vriend	partner	5.84	N
leraar	helper	4.27	N
lichaam	buik	2.03	N
tong	keel	1.82	N
huis	tapijt	1.74	N
intelligentie	vaardigheid	2.87	N
reis	verovering	1.29	N
god	prooi	0.72	N
broer	ziel	2.34	N
tegenstander	rivaal	7.56	N
dood	ramp	3.20	N
monster	demon	7.05	N
dag	ochtend	3.50	N
man	winnaar	1.61	N
vriend	jongen	3.37	N
lied	verhaal	3.49	N
straal	zonneschijn	4.99	N
kerel	hengst	2.43	N
kip	rijst	1.93	N
doos	lift	0.79	N
boter	aardappel	1.04	N
appartement	meubels	2.82	N
meer	moeras	1.91	N
sla	azijn	2.56	N
bloem	bol	3.34	N
wolk	waas	4.77	N
chauffeur	piloot	5.59	N
suiker	honing	3.32	N
lichaam	schouder	2.59	N
idee	beeld	5.46	N
vader	broer	1.97	N
maan	planeet	4.28	N
bal	handschoen	1.84	N
rails	hek	4.07	N
kamer	bed	1.89	N
bloem	struik	3.78	N
botten	knie	3.19	N
arm	knie	1.63	N
onderkant	zijkant	2.15	N
vat	ader	4.59	N
kat	konijn	2.85	N
vlees	spek	4.94	N
geloof	begrip	5.42	N
intelligentie	inzicht	4.66	N
aandacht	interesse	8.13	N
houding	zelfvertrouwen	3.49	N
recht	rechtvaardigheid	5.13	N
argument	overeenkomst	1.50	N
diepte	omvang	1.35	N
medium	nieuws	4.03	N
winnaar	kandidaat	1.68	N
verjaardag	datum	3.95	N
vergoeding	betaling	6.67	N
bijbel	psalm	2.04	N
uitgang	deuropening	4.64	N
man	schildwacht	1.48	N
gangpad	hal	6.03	N
whisky	jenever	4.06	N
bloed	merg	2.43	N
olie	nerts	1.81	N
vloer	dek	3.77	N
dak	vloer	1.15	N
deur	vloer	1.55	N
schouder	hoofd	2.95	N
wagen	rijtuig	7.05	N
auto	rijtuig	6.30	N
elleboog	enkel	2.74	N
rijkdom	bekendheid	2.46	N
verdriet	schaamte	1.87	N
administratie	management	3.28	N
communicatie	gesprek	6.98	N
vervuiling	atmosfeer	4.08	N
anatomie	biologie	5.93	N
hogeschool	beroep	3.30	N
boek	onderwerp	2.22	N
formule	vergelijking	5.63	N
boek	informatie	4.88	N
jongen	partner	2.57	N
hemel	universum	5.49	N
bevolking	mensen	6.80	N
hogeschool	klas	3.07	N
leider	burgemeester	4.16	N
rabbijn	geestelijke	4.98	N
meter	centimeter	5.05	N
polyester	katoen	2.23	N
advocaat	bankier	2.83	N
viool	instrument	3.86	N
opslagplaats	hut	2.47	N
pot	huishoudelijk apparaat	2.36	N
linnen	stof	5.48	N
whisky	champagne	3.02	N
meisje	kind	3.94	N
hut	huisje	6.41	N
vogel	kip	4.27	N
raket	lawaai	2.69	N
zonsondergang	avond	5.22	N
motregen	regen	5.91	N
volwassene	baby	2.32	N
houtskool	kool	4.24	N
lichaam	ruggengraat	1.62	N
hoofd	nagel	1.22	N
boomstam	hout	3.72	N
lepel	beker	1.52	N
lichaam	zenuw	3.05	N
man	echtgenoot	5.51	N
botten	nek	2.21	N
frustratie	woede	6.17	N
rivier	zee	3.91	N
taak	beroep	2.95	N
vereniging	maatschappij	2.92	N
reflectie	afbeelding	3.46	N
prins	koning	5.25	N
sneeuw	weer	3.58	N
mensen	partij	2.15	N
jongen	broer	5.22	N
wortel	gras	3.44	N
wenkbrauw	oog	3.32	N
geld	parel	1.45	N
geld	diamant	1.36	N
voertuig	bus	3.60	N
taxi	bus	2.04	N
huis	schuur	3.54	N
vinger	handpalm	1.15	N
auto	brug	1.56	N
inspanning	moeilijkheid	4.04	N
feit	inzicht	2.60	N
beroep	management	2.04	N
kanker	ziekte	5.18	N
woord	krant	1.33	N
componist	schrijver	4.21	N
acteur	zanger	3.13	N
schuilplaats	hut	5.32	N
badkamer	keuken	2.97	N
cabine	hut	6.18	N
deur	keuken	1.45	N
waarde	geloof	2.98	N
wijsheid	intelligentie	6.42	N
onwetendheid	intelligentie	1.96	N
gelukkigheid	geluk	6.60	N
idee	plan	6.11	N
humeur	emotie	4.83	N
gelukkigheid	vrede	3.98	N
wanhoop	ongeluk	4.35	N
logica	rekenkunde	4.15	N
ontkenning	bekentenis	2.21	N
argument	kritiek	4.83	N
agressie	vijandigheid	6.69	N
hysterie	verwarring	2.71	N
scheikunde	theorie	1.93	N
juridische procedures	oordeel	4.79	N
comfort	veiligheid	4.54	N
zelfvertrouwen	zelf	2.10	N
visie	perceptie	6.53	N
tijdperk	decennium	5.92	N
biografie	fictie	1.00	N
discussie	argument	6.09	N
code	symbool	3.77	N
gevaar	ziekte	3.99	N
ongeval	ramp	5.48	N
reis	excursie	6.12	N
activiteit	beweging	6.22	N
roddel	nieuws	4.08	N
vader	god	1.76	N
actie	cursus	1.28	N
koorts	ziekte	4.29	N
luchtvaart	vlucht	3.57	N
spel	actie	3.74	N
molecuul	lucht	3.51	N
huis	toestand	2.76	N
woord	literatuur	2.92	N
volwassene	voogd	6.19	N
krant	informatie	3.86	N
communicatie	televisie	3.11	N
neef	oom	3.10	N
auteur	lezer	2.58	N
kerel	partner	3.45	N
gebied	hoek	1.97	N
ballade	lied	5.53	N
muur	decoratie	2.70	N
woord	pagina	2.53	N
verpleegster	wetenschapper	2.33	N
politicus	president	4.20	N
president	burgemeester	2.51	N
boek	essay	3.16	N
man	strijder	2.21	N
artikel	tijdschrift	3.16	N
ontbijt	avondeten	2.34	N
menigte	parade	2.74	N
gangpad	gang	7.35	N
leraar	rabbijn	3.97	N
heup	lip	1.06	N
boek	artikel	3.86	N
kamer	gevangeniscel	2.77	N
doos	kraampje	1.39	N
dochter	kind	4.41	N
ledemaat	been	4.74	N
lever	long	2.47	N
klaslokaal	gang	2.52	N
berg	richel	1.58	N
auto	lift	1.41	N
bed	bank	2.57	N
kleding	knoop	2.67	N
kleding	jas	3.18	N
nier	orgaan	6.35	N
appel	saus	1.34	N
kip	steak	2.53	N
auto	slang	1.38	N
tabak	sigaret	5.70	N
student	professor	2.50	N
baby	dochter	3.88	N
pijp	sigaar	3.37	N
melk	sap	2.51	N
doos	sigaar	2.81	N
appartement	hotel	3.40	N
beker	wafel	1.15	N
paard	os	3.55	N
keel	neus	3.25	N
botten	tanden	1.52	N
botten	elleboog	2.77	N
spek	boon	1.68	N
beker	pot	3.85	N
bewijs	feit	7.06	N
overeenkomst	afspraak	7.37	N
verjaardag	jaar	4.39	N
woord	referentie	2.07	N
auteur	maker	5.08	N
atoom	koolstof	2.26	N
aartsbisschop	bisschop	6.76	N
brief	paragraaf	1.76	N
pagina	paragraaf	3.08	N
kerktoren	kapel	4.07	N
spier	botten	1.81	N
spier	tong	4.50	N
jongen	soldaat	1.51	N
buik	onderbuik	5.32	N
kerel	meisje	1.14	N
bed	stoel	2.07	N
kleding	mantel	2.40	N
pistool	mes	1.85	N
blik	metaal	3.50	N
fles	container	2.75	N
kip	kalkoen	6.03	N
vlees	broodje	1.70	N
arm	botten	3.09	N
hals	ruggengraat	2.86	N
appel	citroen	4.03	N
lijden	verdriet	6.83	N
opdracht	taak	7.77	N
nacht	dageraad	2.97	N
diner	soep	2.70	N
kalf	stier	4.71	N
sneeuw	storm	3.30	N
nagel	hand	2.84	N
hond	paard	2.16	N
arm	hals	2.97	N
kogel	kanon	4.96	N
griep	koorts	5.13	N
vergoeding	salaris	5.51	N
zenuw	hersenen	4.09	N
beest	dier	8.59	N
diner	kip	1.88	N
meisje	dienstmeisje	1.93	N
kind	jongen	3.69	N
alcohol	wijn	3.94	N
neus	mond	3.94	N
weg	steeg	3.54	N
bel	deur	2.09	N
doos	hoed	0.93	N
geloof	indruk	2.04	N
vooroordeel	mening	4.34	N
aandacht	bewustzijn	5.36	N
woede	stemming	2.17	N
elegantie	stijl	6.35	N
schoonheid	leeftijd	1.31	N
boek	thema	3.06	N
vriend	moeder	1.78	N
vitamine	ijzer	2.42	N
auto	fabriek	1.74	N
verdrag	overeenkomst	8.48	N
hoofdstuk	keuze	1.44	N
rekenkunde	ritme	2.42	N
winnaar	aanwezigheid	1.64	N
geloof	bloem	1.43	N
winnaar	doel	2.79	N
truc	maat	1.32	N
keuze	neiging	1.98	N
volkslied	verovering	1.36	N
uithoudingsvermogen	muziekgroep	0.87	N
gevangenis	keuze	0.98	N
conditie	jongen	0.98	N
bloem	volharding	1.55	N
gat	overeenkomst	0.78	N
dokter	temperament	1.47	N
broederschap	deur	1.85	N
taak	vrouw	1.48	N
broederschap	honkbal	1.50	N
cent	maat	1.20	N
aanwezigheid	deur	1.02	N
muis	beheer	0.82	N
taak	snelweg	0.94	N
likeur	eeuw	1.26	N
taak	rietje	0.83	N
eiland	taak	0.80	N
nacht	hoofdstuk	1.20	N
vervuiling	president	0.88	N
pistool	truc	0.94	N
bad	truc	1.06	N
dieet	appel	1.72	N
cent	vrouw	1.08	N
hoofdstuk	staart	2.09	N
cursus	buik	0.72	N
volkslied	rietje	0.87	N
tandarts	kolonel	0.70	N
echtgenote	rietje	1.40	N
gat	vrouw	1.21	N
student	president	1.28	N
bad	vrouw	1.61	N
mensen	cent	1.05	N
formule	logaritme	3.99	N
vrouw	bont	1.74	N
appel	zonneschijn	1.69	N
pistool	dageraad	1.00	N
maaltijd	staart	0.49	N
camera	president	1.69	N
likeur	muziekgroep	0.85	N
buik	ader	2.26	N
pistool	bont	0.99	N
bank	honkbal	1.70	N
arbeider	camera	0.88	N
dek	muis	1.03	N
rijst	jongen	0.87	N
mensen	pistool	1.25	N
klif	staart	0.93	N
enkel	raam	0.86	N
prinses	eiland	0.87	N
container	muis	0.94	N
wagen	container	2.60	N
mensen	ballon	1.50	N
dollar	mensen	1.47	N
bad	ballon	1.12	N
buik	slaapkamer	0.77	N
fiets	slaapkamer	0.83	N
boomstam	bad	0.96	N
kom	staart	0.67	N
gaan	toestaan	1.33	V
nemen	stelen	4.14	V
luisteren	horen	7.22	V
denken	rationaliseren	5.34	V
plaatsvinden	voorkomen	5.26	V
voorbijgaan	verdwijnen	4.51	V
vermenigvuldigen	delen	3.63	V
pleiten	bedelen	1.73	V
beginnen	ontstaan	6.62	V
beschermen	verdedigen	7.60	V
doden	vernietigen	4.80	V
creëren	maken	8.76	V
accepteren	weigeren	2.25	V
negeren	vermijden	5.87	V
dragen	brengen	1.86	V
vertrekken	binnenkomen	1.88	V
kiezen	stemmen op	5.45	V
verliezen	falen	5.51	V
aanmoedigen	ontmoedigen	1.71	V
bereiken	volbrengen	6.14	V
maken	opbouwen	7.65	V
luisteren	gehoorzamen	6.05	V
delen	melden	6.10	V
ontvangen	geven	3.02	V
lenen	smeken	2.17	V
nemen	verkrijgen	4.83	V
adviseren	aanbevelen	7.26	V
imiteren	uitbeelden	5.75	V
winnen	slagen	5.54	V
denken	besluiten	2.20	V
groeten	ontmoeten	3.42	V
akkoord gaan	argumenteren	2.52	V
genieten	vermaken	4.37	V
vernietigen	maken	2.19	V
redden	beschermen	3.80	V
geven	lenen	2.80	V
begrijpen	weten	4.81	V
nemen	ontvangen	5.38	V
accepteren	erkennen	6.02	V
beslissen	kiezen	6.91	V
accepteren	geloven	4.06	V
houden	bezitten	6.22	V
rondzwerven	dwalen	7.83	V
slagen	falen	1.43	V
besteden	redden	1.06	V
vertrekken	gaan	8.03	V
komen	bijwonen	4.91	V
weten	geloven	2.87	V
verzamelen	ontmoeten	3.22	V
maken	verdienen	3.57	V
vergeten	negeren	2.34	V
vermenigvuldigen	toevoegen	3.67	V
krimpen	groeien	2.98	V
aankomen	komen	4.21	V
slagen	proberen	1.80	V
accepteren	ontkennen	1.80	V
aankomen	vertrekken	1.68	V
akkoord gaan	afwijken	1.35	V
sturen	ontvangen	1.78	V
winnen	domineren	3.56	V
toevoegen	verdelen	2.46	V
doden	wurgen	5.31	V
verwerven	krijgen	5.04	V
deelnemen	meedoen	8.90	V
vertrekken	achterblijven	1.95	V
gaan	komen	4.01	V
nemen	dragen	2.75	V
vergeten	leren	1.91	V
benoemen	kiezen	1.87	V
verloven	trouwen	4.94	V
vragen	bidden	1.62	V
gaan	sturen	1.72	V
nemen	leveren	2.57	V
spreken	luisteren	2.13	V
analyseren	evalueren	6.63	V
argumenteren	rationaliseren	4.00	V
verliezen	houden	1.09	V
vergelijken	analyseren	4.10	V
desorganiseren	organiseren	2.68	V
gaan	verkopen	0.96	V
nemen	bezitten	3.26	V
leren	luisteren	3.54	V
vernietigen	bouwen	1.46	V
creëren	bouwen	7.19	V
stelen	kopen	2.73	V
doden	ophangen	4.34	V
vergeten	weten	2.28	V
creëren	voorstellen	2.43	V
doen	gebeuren	2.86	V
winnen	bereiken	4.11	V
geven	weigeren	0.90	V
verdienen	nemen	2.57	V
krijgen	zetten	2.08	V
lokaliseren	vinden	7.37	V
verschijnen	bijwonen	3.78	V
weten	begrijpen	5.32	V
doen alsof	voorstellen	5.32	V
tevredenstellen	voldoen	5.49	V
koesteren	houden	6.06	V
argumenteren	verschillen	4.26	V
overwinnen	domineren	3.93	V
zich gedragen	gehoorzamen	5.84	V
samenwerken	deelnemen	4.21	V
bereiken	proberen	2.68	V
falen	ontmoedigen	2.67	V
beginnen	stoppen	1.89	V
zeggen	deelnemen	2.67	V
komen	brengen	2.83	V
bekendmaken	aankondigen	5.20	V
lezen	begrijpen	3.37	V
nemen	achterlaten	2.01	V
verkondigen	aankondigen	6.43	V
verwerven	verkrijgen	6.39	V
concluderen	beslissen	4.95	V
tevredenstellen	pleiten	1.56	V
argumenteren	bewijzen	6.23	V
vragen	pleiten	2.31	V
vinden	verdwijnen	1.49	V
inspecteren	examineren	5.27	V
controleren	rechtvaardigen	2.47	V
vermoeden	voorspellen	5.11	V
leren	evalueren	4.71	V
argumenteren	rechtvaardigen	4.65	V
maken	worden	2.15	V
ontdekken	ontstaan	3.98	V
bereiken	slagen	6.70	V
geven	plaatsen	2.96	V
begrijpen	luisteren	3.99	V
uitbreiden	groeien	7.18	V
lenen	verkopen	1.28	V
houden	beschermen	2.88	V
uitleggen	bewijzen	4.76	V
vermoeden	doen alsof	1.21	V
akkoord gaan	voldoen	3.04	V
vergeven	vergeten	3.01	V
verklaren	uitleggen	7.88	V
begrijpen	vergeven	1.73	V
herinneren	vergeten	1.55	V
krijgen	achterblijven	1.41	V
realiseren	ontdekken	3.85	V
nodig hebben	vragen	5.60	V
negeren	vragen	0.76	V
denken	informeren	1.40	V
afwijzen	vermijden	2.86	V
argumenteren	overtuigen	5.75	V
najagen	overtuigen	2.99	V
accepteren	vergeven	3.64	V
doen	stoppen	2.10	V
onderzoeken	herzien	3.24	V
discussiëren	uitleggen	2.33	V
verschuldigd zijn	lenen	3.43	V
verkennen	ontdekken	6.88	V
klagen	argumenteren	1.05	V
terugtrekken	afwijzen	4.41	V
houden	lenen	2.87	V
smeken	vragen	3.47	V
regelen	organiseren	6.76	V
verminderen	krimpen	6.94	V
spreken	erkennen	1.42	V
geven	uitlenen	2.07	V
doden	verdedigen	2.45	V
verdwijnen	krimpen	4.04	V
leveren	dragen	1.76	V
ademen	verstikken	2.03	V
erkennen	melden	1.98	V
worden	verschijnen	2.97	V
doen alsof	lijken	5.86	V
bereiken	worden	5.70	V
overnadenken	denken	6.74	V
bepalen	voorspellen	2.69	V
tevredenstellen	vermaken	3.58	V
blijven	behouden	5.54	V
doen alsof	uitbeelden	5.41	V
vergeten	onderhouden	1.09	V
willen	kiezen	3.56	V
verliezen	krijgen	2.00	V
proberen	denken	0.99	V
worden	lijken	2.19	V
vertrekken	negeren	1.61	V
