,text
65,"once there was a princess. and then the prince came. then they got married. and then they had babies. they lived in a castle. the babies get sick. and then they go to the doctors. when they are better, they go to the playground. and then they go to the fair. then they crawl around in the house. and then that's the end."
66,"once there was a princess. and then the prince came. and then they got married. then they all had babies. the sister grew up. and the brother didn't. he was sick. he had a bad throat. all of them got married, even the little brother. then they had dogs and kittens, all kinds of animals, pigeons and rabbits and dogs and camels. and then the sun came out. and all of them had presents. they were puppy dogs and kittens. and then they played with them. and they had other toys too."
67,one time there was a princess. then there was a prince. then they got married. then they had babies. then they had all different animals. then they played with the dogs and kittens and the rabbits. then they played with the other animals. then they got a new grandma and some cousins. then they got married again. and then they saw something in the house. and that was a playing machine. then they had candy. that's the end.
68,once there was a princess. and then there was a prince. they got married. a unicorn came and a mermaid. the little mermaid played with the children. they all went out by themselves. and then they looked because there was a monster. but it was really a dog. then they had pizza in the castle.
69,there was a princess. she got married to her boyfriend. then they had babies. and their names were Kelly and John. then a bad guy comed. the bad guy stealed the babies. but then he gave them back. then John and Kelly went to school with a backpack. then they go to the farm. and catch some raccoons.
70,once there was a princess. and then a fairy came. then a prince came. and the princess and the prince had babies. the fairy watched them. then a bad guy comed. the princess played with the babies. the bad guy was not nasty. but he did not have a home. he lived with the princess and the fairy. then they got dressed.
71,"once there was princess. and then there was a prince. they got on a trip. they got on an airplane and a bus. then all the sisters came down. then they had lots of animals, kitties and dogs and cats."
72,once there was a princess. and then there was a prince. they lived in a castle when they got married. a queen lived with them and some knights. they had some babies. and then they goed home to the castle. they had some puppies and dogs and some cats. they got married again. and the cat and the dog got married. then they all had their birthday. and they goed to the fair.
73,once there was a princess. and then there was a prince. and then they got married. they had babies. then they all go to the fair. and they jump on the jumping giraffe.
74,"once upon a time there was beautiful little princess. then a prince came. the princess girl grew up. and they married. and they had two babies, a boy and a girl. another prince came. and married the other girl. they had a puppy and a little cat."
75,"once there was a princess. and she had no father. and she just lived alone with her sisters. and one day a prince came who said "". do you want to marry me? then they had babies. and the babies got sick. and the mama and papa taked care of them."
76,once there was a princess. and then a prince came. and then they had babies. and then they went out for a walk. and in the walk they met ponies. my story's done.
77,"once there was a princess. and a prince came. and then they had two babies, two twin girl babies. and then the prince and the princess got married. and the girl babies grew up to be ballerinas. and then they had pizza for dinner. and the prince got married to the two ballerinas. and they all went on a walk. and met two ponies, a girl and a boy. and then another princess came. and she married another prince. and then the princess pony got married to the prince pony. and the grown up ballerina went for a walk by herself with the other ballerina and the princess. and they went to the park."
78,once there was Ariel. then Eric came. Ursula came. and then got married with Eric. and then Ariel returned to Eric's ship. the Seawitch only married halfway. then Ariel stayed with Eric for a long time. and then they got two puppies and two cats.
79,once there was me. and then my dad came. and my mom came. and then my friend came. her name was Mariel. and then my friend went. and then dad went to work. it was a long time ago. and then I have my birthday. and then I went to school. and after school I had a vacation. and I visit my grandma and grandpa and aunts and uncles. and that's the end.
80,once there was me. then my dad came. my dad went to work. and my mom came back from work. and then my dad came back from work. and he played with me. and we went to the ice cream store. then it was night time. and when I woke up I went to my friend's house. her name was Zoe. I went home. I had my dinner. and I went to bed. then I went to my friend's Mariel's house.
81,once there was a princess. and then a mouse came. a witch came. and made the mouse a prince. and then a girl mouse came. and then a prince mouse came. the prince and princess had two girl babies. and then they went on a walk to the playground. and then they slept. and then they made a garden. and that's the end.
82,once there was me. then Marcy came with Joel. then my mom came back from work. then dad came back from work. and Marcy and Joel had dinner with me. and we had pizza for dinner. then I had a sleepover with Joel. then we woke up in the morning. and Marcy went home while Joel was on the sleepover. and then when I woke up I went to Joel's. then Marcy reads us a story. and then she drives us to school. mom picks us up. and Joel had another sleepover with me. and we had pizza and noodles for dinner.
83,once there was a princess. and then a prince came. and they went to marry at the church. then they had babies. then my friend Julia and me and my mom went to visit the princess and the prince at the castle.
84,once there was me. and then it was Halloween. and we went trick-or-treating. and every house we did was in our neighborhood. and then it was winter. the snow was falling. and my mom and dad came. and I visited Mariel and Zoe.
85,"once upon a time there lived a princess in a faraway castle in a kingdom. and there was a queen, a king, a prince and the princess. and in that castle lived two young daughters. the princess had a baby. and she got married again to the prince. and they had lunch. the lunch was pizza. then unicorns came. one was a prince and one a princess. and they carried babies on their backs. then the princess had another baby. and they got married one more time. and the pony got married."
86,"once there was a deer and her name was Sally. and then there was a mother and a father. she just had one friend. and her name was Sally again, two deer Sallys. so the next day her mother died. and then she went to the woodchucks. there was a tree. and it could talk. and she got a mom with lipstick. that's all."
87,"once there was a princess. then a prince came. babies, we had babies. then they got married again. then they went to the park. then they got a pony. and then they got married again. and then my family came to visit. and then they got a dog and a kitty cat. and then the kitty got babies. then the dog got puppies. and that's the end."
88,"once there was me. then my friend came, Leigh. and then there was my mom. then my dad. and then my birthday. we went to bed and ate some dinner. and then that's all."
89,once there was a ballerina. and a bunny came. then a prince and a princess came. the bunny was the ballerina's pet. and it got married to a prince bunny. the princess person had babies.
90,once there was Kaira and me. then my dad and my mom came. Kaira and I played together. and mom and dad worked.
91,once there was a princess. and then a prince came. and they got married. and they got babies. and the princess and the prince got married again. then they met a fairy. and they got a kitty and a dog. and went on a walk. and then they went to school. and that's the end.
92,once there was a pony. and her name was Flower. she met her friend for a sleepover. and then they went home to her mom and dad. all her friends came over and her aunts and uncles. they all had lunch together.
93,once there was Annie. and then there was Leigh. then Tina's dad came. and then Annie and me and daddy went out to play. then we met a princess. and her name was Rosie. they all went out to play together. and then Tina's baby came. the end.
94,once upon a time there was a princess and a prince and babies. one day they got married. and had babies again. the babies played with the babies. the end.
95,once there was babies. and then a princess and a prince came. and then three ponies came. and then another princess came into the playground and the fair. and they played until they met a new friend. and then they met two more ponies. and then they met two kids. and then they went biking in the forest. and then they went biking again. and they had breakfast and dinner. and then they went to the store. and they went biking again. then they went to the fair again. they jumped on the jump-up giraffe. that's the end.
96,once there was a princess. and then a prince came and a baby. one baby and that was a girl. and Sparkle Pony came. and then they went biking. and ate dinner and breakfast. and went to a fair. that's the end.
97,"a family story. once there was my mamma and my dada. my dad went to Boston. and then he came back. then I went to my friends' house, Marielle and Zoe. when I came back home, mommy was there and daddy. we went to the park with Marielle and Zoe. when we came back home, we had lunch and dinner and a sleepover. then we went to the park and the fair. we went on a merry-go-round and a slide and on the Jumping Giraffe. then we ate pizza for dinner. and we had another sleepover."
98,"once there was my mom. and then my dad drove her to work and me to school. I played with all my friends. and when we went home, I invited my friend. and she was a princess. then a prince came. they got married. we went to Boston with them. and then we drove to Winchester. we played at Winchester. and then they had babies. we went to the fair. and we went on an airplane ride. we went on the merry-go-round and the Jumping Giraffe. we peeled bananas and ate lunch. we went to my friend Lisa's and Joel. and the prince and princess had more babies. we had lunch again and breakfast and dinner. and we had a sleepover to go there."
99,once there was me and my mommy and my daddy. and then daddy went for two days to Boston. and then he came back. and daddy came back again. and Tina went to school. and then Tina turned seven and a half. and then I went to Wildwood. the end.
100,"Kelly went to the fair. she went on a tiny merry-go-round. her mom let her go to the mouse hole. and she picked her up. her sister came. her name is Jenny. and Jenny played with Kelly. then Jenny's friend came, Lucy-Ann. they had dinner and a sleepover. and then her dad came."
101,"once there was me. we watched the moon go by. and twinkle the stars around it. we went to bed. and then it was morning. it was my birthday that morning. and it was nice and hot and sunny. it was August. I invited Leigh, Sally, Alice, Annie, and Kaira. and we had cake and ice cream. and then I had a sleepover with all my friends. and then we had lunch and cake and breakfast and supper. and then we went biking. and then we went on a nice cool walk. and that's the end. and my mom and dad got married. they had a baby."
102,"once there was me. it's Kelly's voice because Kelly's telling the story. and I went sledding on a steep, windy hill. and I got all wet. and it was a steep windy hill at school. and I loved it. and we drank hot chocolate. Kelly's whole family drank hot chocolate. and me too, I got a big cup of it. and I zoomed into my bedroom. and had a little nappy. and then it was night time. and she snuck out of the house. and went into the mouses' cave. and played with the little baby mouses. and had dinner there. and had a sleepover. and then jumped right up and down on her bed, her trampoline bed. and then she got a kitty and a dog and a puppy and a cat. and then she went back home with her mom and dad and her sister and brother. and then she went to a party. and it was the mouses' party. she ate cake and ice cream and dinner. and then she had a nice dinner at her home. and then she went to bed. in the night time she got up because she couldn't sleep anymore. and then it was morning. she played on the merry-go-round. and then went to bed. and then had her nap. and then played on the merry-go-round. and jumped on the jump-on giraffe with everyone. everyone in her family and the mouses. the end."
103,"once there was Kinsley. and Kaira came and had a sleepover with me and Kinsley. and Kaira and me and Kinsley played together. and then we went to the fair. jumped on the jump-on giraffe. and played with the circus. and then Wesley came and Sally. and it was my birthday. and then I invited Alice, Sally, Wesley, Kaira and Kinsley. and we ate cake and ice cream. and then we watched the circus clown. everyone in my family, my mom and dad and all my friends. my friends were there to watch the circus. and then it was Christmas. and then I played in my Christmas suit upstairs. this was at Nanna's and Grandpa's. and then Kinsley needed to go home. and I had a visit with Kinsley. and then in the morning I came to my house. and I ate dinner and went to bed. and then Kelly Jenny came. and Kelly Jenny played with the mice friends. and everyone jumped on the jump-on giraffe, even my mom and dad. the end."
104,once there was me and my mom and dad. and then Kelly came. I visited with Kelly. and my parents visited with Kelly's parents. and then Marielle came over and Zoe and Wesley and Sally. it was my birthday. I was five. and I ate cake with all my friends. but snack was spaghetti and pizza. and then my mom and dad cut the cake. and then I went to Wildwood. and I went on that bus home. and then it was night. and I slept with Kelly and my friends. and then in the morning Kelly went home. but my friends stayed. and then I visited Marielle. and I played in the park. got some ice cream. and then it was night time. I went to bed. and then it was Christmas. I went to Nanna's. and in the morning I got new pink sneakers with flowers and bows on them. and that's the end.
105,"once there was my baby. and I played with her. and at night time I put her to bed. and I rocked her. and I went into my high bed. then it was morning. and I ate breakfast. then I played with my baby sister. and then we went to Boston. Wesley came. and she played with me and the baby. and we had a sleepover. we played together, my baby and me and Wesley. and then who came but Kelly! we all played together. and Kelly played with the mice friends too. my mom and dad came. and we had ice cream. then Sally came. and we all played together, me, Sally, the baby, Wesley and Kelly."
106,once there was Kelly. and she played on the playground. and then she went to the fair with Jenny. and they went on the merry-go-round. and then they jumped on the jump-up giraffe. and then Kelly and Jenny ate up all the food in the grocery store. they ate hot dogs and beans and some cheese noodles to get healthy. and then ate some chocolate chip cookies and some chocolate. and then it was nighttime and Jenny and Kelly went to bed. and then they played with the mice friends. and then it was morning. and Kelly and Jenny went to their friend Lucy's house. and ate breakfast. and played there. and then they went home. and read their books in separate rooms. and then they went to grandma's house. and then in the morning they woke up. and played. the end.
107,once there was Kelly. and then Kelly went to the park. and then Kelly went to the fair. and then Kelly had some ice cream. and then Kelly went home and had a nap. and then she played in her doll house. and then Kelly visit the mice friends. and then she ate chocolate ice cream again. and then she made the mice friends some ice cream. and then it was her birthday. and then her mother gave her chocolate cake with pink and green decorations and pink and purple candles. and then it was Christmas. she got lessons how to fight bad people off. and then she played with all her toys. and then she played around in her tree house. and then it was Halloween. and she was a princess for Halloween. and then Jenny came. and Jenny took her to the fair. and then they went on the ferris wheel. and Kelly went on a pink horse with a purple mane and blue and black spots. and then she put on her sparkly star bonnet with her sparkly star suit. and then she visit the mice. and they had a sleep-over there.
108,"once upon a time there was my baby brother, and my mom, and my dad and me. and my brother was just learning how to crawl because I was crawling sometimes to show him how. and we went for a trip to show my grandma how my brother was crawling. and my grandma loved my brother crawling, because she was so happy that she wanted to have my brother do it again. so I tried to make him. but he wouldn't. and that's the end."
109,once upon a time there was my grandma and my grandpa. and they came to my house. and they slept over at my house. and the next morning first my dad had breakfast. then I had breakfast. and then my grandpa had breakfast. and then my grandma. and my mom had breakfast. and she was the very last one.
110,"once upon a time there was the little mermaid's father. and sometimes Ariel got into trouble. and one time her father didn't let her bring human stuff into the castle. and she always loved human stuff. and one day she went somewhere. and she found a human bracelet. and she put it on. and when she wanted to take it off, she tried. but she couldn't. and she was so sad that she found the key. but she couldn't get it off cuz it didn't work. and then a big troll came. and ate the little mermaid up. but then the troll had a big tummy ache. that's the end."
111,"once upon a time there was me and Leah and my dad and my mom. and one day we went out for a family walk. and then we went back home because we were hungry. and then after we ate, we went out to the movie place. and the movie was called Beauty and the Beast. and then after we watched the movie we went home. and called up my grandma and grandpa. and we asked if we could come and visit them. and they said "". yes. and then we drived to the airport. and got on a plane. and when we got there grandpa came to the airport to pick us up. and then they bringed us to their house. and we had dinner. and then that's the end."
112,"once upon a time. this is about my trip to Florida, it's gonna be a long story. first my daddy picked me up. and my mom and my brother were waiting for me in the car. then we drived to the airport. and it was very long, cuz it was very long from here to the airport. and then we got to the airport. and we waited for our plane to come. and then it finally came. and then we went on it. and my ears started to hurt. and I didn't have any gum cuz right after it hurted it didn't hurt anymore. I talked to my parents. and I played with my brother whose name is Spencer. and that's the end. that's how I went to my grandma's. and that's the end. and that's a very long story."
113,once upon a time there was my silly markers. they were silly because they walked. and then there was some funny beads. they were funny because they were alive. and then there was a butterfly. and it met a ballerina. and the ballerina was pretty. she was pretty because she only danced around where ever she went. then the ballerina went home. and the butterfly picked a flower for the sun. then he flew up to the sun. and gave it to the sun.
114,"once upon a time there was Leigh. and she was sleeping. she dreamed that the next day that it was her birthday. and that was true. so she dreamed of it. and the next morning she was so excited. and then she took a bath to keep her nice and clean. then she picked out a party dress. and she got it off her hanger. and then she got dressed in it. and then she showed her mama how beautiful she looked. and she said "". gosh. and she said gosh because she looked like beauty. and then all her party guests arrived. and she was so happy cuz she turning five. and then it was time to eat cake and ice cream. and then it was time to open the presents. and that's the end."
115,"once upon a time there was me and then my mom, my dad, and my brother. we went for a walk. and then we came back. it was time to make dinner. and then our family ate it. then it was time to go to bed. the next morning we ate breakfast. then we played. and then we went to school. Spencer was grown up. and he went to school too. we ate lunch at school. we all had a nap at school. my mom and my dad and my brother and me we all slept. we didn't all lay there. the kids slept at school. and mom and dad slept at work. and then my mom and my dad and my brother and me we all went home. when we got home it was time to cook dinner. then we all went to sleep."
116,once upon a time there was my mom and my dad and me. and there was my brother. and my family was silly because we were always hurting each other. there were only two people hurting each other. the person who did it laughed. and the person who got hurt laughed because the person who did it thought the person would cry. but they laughed. that's why it's funny. the end.
117,once upon a time there was me and my mom and my dad and my little brother. my mom had a baby in her tummy. and Julia was the oldest kid in the family. soon my baby brother came out of my mom's tummy. and I love my baby brother. one day my brother fell. and my mom and dad did not care that he bumped his head. but I did care. and then I rubbed my brother's head. and gave him a kiss on the head. and a hug on his head. after my two brothers growed a little bigger my whole family went on a trip to Colorado. I and my mom and my dad taught my two little brothers how to ski. and then we went on another airplane. and we went to visit my grandma and grandpa's house. we went to visit our cousins too. then we went on the airplane again. and we went home. we had supper. and then we went to bed. the next morning we had breakfast. and then we did our trip all over again.
118,"once upon a time there was me and my dadda and my mama and my two little brothers. then one day we went to the fair. my mommy and my daddy and my two brothers were going to get a little snack. since I was ten I could go to places all by myself. I went on a roller coaster. and when I got off I met a little girl that was my same age. and her name was Leigh. I went to my mom and dad with my friend I just met. and I asked if we could sleepover. they said "". for a week. and then I was excited because it was a very long time. then we went home from the fair. and we ate dinner. and then we went to bed. the next morning when we woke up, we had breakfast. and then we went to the fair again. first we went to have a snack because it was a very long drive. then we went on the roller coaster, the whole family and my friend. we went on lots of more rides. but they are not going to be in the story. the last ride was on the Jumping Giraffe. and then we went home."
119,"once upon a time there was me and my mom and my dad and my brother. one day there was a show with Disney-On-Ice on it. and I saw it on TV. my dad went on a trip. and when he came back he said "". you can go and see it. because I told him about it. the next day when we woke up we had breakfast. and then after a little while a babysitter came to watch Spencer, cause it was just me my mom and my dad who went to the show. we saw it a little bit and then it was intermission time. we went to the bathroom because I had to go potty. then we watched some more of it. and then we went home. and that's the end."
120,"once upon a time there was Kelly. and one night when everyone in her family was sleeping, Kelly snuck out of her bed into her brother's room. and climbed out of her brother's window. and then she took the wood bench. and she made little jewelry boxes for the mice. and then she took the wood bench back to her house. and then she put it back in her room. and she took the jewelry. and brought it to the little mouse hole. and they were sleeping. and she took the jewelry. and snuck it into all the little jewelry boxes. and then she told her brother all about it the next morning. and that's the end."
121,"once upon a time there was me and my mom, my dad and my two brothers. in the summer time was my birthday. it was summer time on July thirteen. and that means it was my birthday. and my mom and dad went away when a babysitter was watching my two brothers and me. and my mom and dad went away because they were gonna get me a surprise birthday present. and I invited Leigh and Alice and Jacob. and my surprise birthday present from my mommy and dad was a pretty, shiny, glow-in-the-dark bow to wear in my hair. and then the party was over. and it was night time. and it was time for me to go to sleep. but I couldn't go to sleep because it was exciting in the day for me. but then I went to sleep. and then I had breakfast. and that's the end."
122,"once upon a time there was my mom and my dad and my two brothers. and they were all grown up, except they were four. and I was already five. and I was in kindergarten at Fort River. and my friends Amy and Sally and Sally and Rachel were there with me. and they're my friends. we played together. and then we took a nap. and then I turned six years old. and it was my birthday. and I got a pretty, pink bow. and then I went to sleep. and then I had breakfast. and that's the end."
123,once upon a time there was my mommy and my daddy and my two Spencers and my goo-goo toy and my ha-ha toy. and then there was me and my friend Leigh. we played goo-goo and gaa-gaa twice. the end.
124,"once upon a time there was my Mama and my Dada, and my brother Spencer, and my other brother, Jordan. and there was me. and it was my birthday. and I was turning five. and my Mom and Dad and my brothers got me a car that I go in that was a toy car. but it moved. and you didn't have to move with your feet. but you put batteries in it. and it moved by itself. and it was a Barbie car with Barbies all around it. and you could dress the Barbies on the car with stickers. and I liked it very much. and that's the end. and we had a birthday cake. and now that's really the end."
125,"once upon a time there was me. and I was five. and could go and take walks by myself. and when I was taking my walk, I met a fairy. and she walked with me too. and as me and the fairy were walking we met a princess. and then we had birthday cake. we had three birthday cakes, one for me, one for the fairy, and one for the princess. and then we went in the car. and drived to the library. and picked out some books. and then we brought the books home. and then we looked at the books. and then we looked at the books. we looked at the books twice. and the next morning we had breakfast. and we went to our grandma's house. and that's the end."
126,there was once a silly man. but he wanted to have a silly baby. but he didn't know where to get one. and then a sister came along with a mom. and they were both silly. and they were gonna get a silly baby. and that's all.
127,once there was a silly princess. and it was the king's birthday. and there was silly stuff. and that's the end.
128,once there was person. and then words came along. and that's all of the story.
129,"once there was a silly Leigh. and then she started singing a silly song. then someone sneaked in the house when no one was there. and then the people who lived in that house came home. and then the people went back to somebody else's house cause they were scared. the silly Leigh watched them go to somebody else's house. and then the silly Leigh came back from the other person's house. and then the silly Leigh turned back into the plain Leigh. and then a walking table walked and said "". hello silly Leigh. and then the silly Leigh kicked the walking table. then some walking beads came."
130,once there was a walking silly. and then they came upon a table where people were eating some soup.
131,"once there was me. and then my mommy came. and Michael came to visit. and Peter flied in an airplane to his dad Ezra. and then after he went to Ezra's house, he went to his mother Susie's house. and then Susie and Jack and we all went home to Pelham. and then we had dinner and lunch. and then we went to bed."
132,once there was Micah. and then there was my mommy. then mommy went to school. and then my daddy went to Fort River. then me went to school by myself with no one. and no one was home.
133,once there was Leigh. and then there was Peter. and then there was Kate. and then there was Dabledoo. and then there was Silly. and then myself went to school with Michael and Peter and Kate. nothing else.
134,once there was Nina. and then there was my mommy. and then there was Nina's birthday. and then Peter came. and Peter gave Tina a present. then there was a biga-bonka-dinka-doodle. and then there was myself.
135,once there was Peter. then there was my brother. and then we went to school. and then there was Leigh. then we came home. and then there was myself again. then they had a baby. it was Leigh's baby.
136,once there was my dada. then there was my mama. and then it was Leigh. and then a walking button came. and then a walking bucket. they did a jumping contest. the button won. then they did another jumping contest. and the bucket won. then my daddy went to school. then my mama went to school. then I went to school. then Micah went to school.
